,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER
1171,21401172.0,Minnesota Timberwolves,Portland Trail Blazers,91.0,116.0,207.0,25.0,Portland Trail Blazers
1172,21401173.0,Chicago Bulls,Miami Heat,89.0,78.0,167.0,11.0,Chicago Bulls
1173,21401174.0,Portland Trail Blazers,Golden State Warriors,105.0,116.0,221.0,11.0,Golden State Warriors
1174,21401175.0,Toronto Raptors,Orlando Magic,101.0,99.0,200.0,2.0,Toronto Raptors
1175,21401176.0,Charlotte Hornets,Atlanta Hawks,80.0,104.0,184.0,24.0,Atlanta Hawks
1176,21401177.0,Washington Wizards,Brooklyn Nets,80.0,117.0,197.0,37.0,Brooklyn Nets
1177,21401178.0,Boston Celtics,Cleveland Cavaliers,99.0,90.0,189.0,9.0,Boston Celtics
1178,21401179.0,Indiana Pacers,Detroit Pistons,107.0,103.0,210.0,4.0,Indiana Pacers
1179,21401180.0,Milwaukee Bucks,New York Knicks,99.0,91.0,190.0,8.0,Milwaukee Bucks
1180,21401181.0,San Antonio Spurs,Houston Rockets,104.0,103.0,207.0,1.0,San Antonio Spurs
1181,21401182.0,Phoenix Suns,New Orleans Pelicans,75.0,90.0,165.0,15.0,New Orleans Pelicans
1182,21401183.0,Sacramento Kings,Oklahoma City Thunder,103.0,116.0,219.0,13.0,Oklahoma City Thunder
1183,21401184.0,Dallas Mavericks,Denver Nuggets,144.0,143.0,287.0,1.0,Dallas Mavericks
1184,21401185.0,Memphis Grizzlies,Utah Jazz,89.0,88.0,177.0,1.0,Memphis Grizzlies
1185,21401186.0,Minnesota Timberwolves,Los Angeles Lakers,98.0,106.0,204.0,8.0,Los Angeles Lakers
1186,21401187.0,New York Knicks,Orlando Magic,80.0,79.0,159.0,1.0,New York Knicks
1187,21401188.0,Toronto Raptors,Miami Heat,107.0,104.0,211.0,3.0,Toronto Raptors
1188,21401189.0,Philadelphia 76ers,Chicago Bulls,107.0,114.0,221.0,7.0,Chicago Bulls
1189,21401190.0,Memphis Grizzlies,Los Angeles Clippers,86.0,94.0,180.0,8.0,Los Angeles Clippers
1190,21401191.0,Utah Jazz,Portland Trail Blazers,111.0,105.0,216.0,6.0,Utah Jazz
1191,21401192.0,Minnesota Timberwolves,Golden State Warriors,101.0,110.0,211.0,9.0,Golden State Warriors
1192,21401193.0,Brooklyn Nets,Milwaukee Bucks,73.0,96.0,169.0,23.0,Milwaukee Bucks
1193,21401194.0,Cleveland Cavaliers,Boston Celtics,78.0,117.0,195.0,39.0,Boston Celtics
1194,21401195.0,Charlotte Hornets,Detroit Pistons,77.0,116.0,193.0,39.0,Detroit Pistons
1195,21401196.0,Sacramento Kings,Denver Nuggets,111.0,122.0,233.0,11.0,Denver Nuggets
1196,21401197.0,Oklahoma City Thunder,Indiana Pacers,104.0,116.0,220.0,12.0,Indiana Pacers
1197,21401198.0,Atlanta Hawks,Washington Wizards,99.0,108.0,207.0,9.0,Washington Wizards
1198,21401199.0,New Orleans Pelicans,Houston Rockets,114.0,121.0,235.0,7.0,Houston Rockets
1199,21401200.0,Phoenix Suns,San Antonio Spurs,91.0,107.0,198.0,16.0,San Antonio Spurs
1200,21401201.0,Dallas Mavericks,Los Angeles Lakers,120.0,106.0,226.0,14.0,Dallas Mavericks
1201,21401202.0,Houston Rockets,Charlotte Hornets,100.0,90.0,190.0,10.0,Houston Rockets
1202,21401203.0,Detroit Pistons,Cleveland Cavaliers,97.0,109.0,206.0,12.0,Cleveland Cavaliers
1203,21401204.0,Milwaukee Bucks,Philadelphia 76ers,107.0,97.0,204.0,10.0,Milwaukee Bucks
1204,21401205.0,New York Knicks,Atlanta Hawks,112.0,108.0,220.0,4.0,New York Knicks
1205,21401206.0,Chicago Bulls,Brooklyn Nets,113.0,86.0,199.0,27.0,Chicago Bulls
1206,21401207.0,Orlando Magic,Miami Heat,93.0,100.0,193.0,7.0,Miami Heat
1207,21401208.0,New Orleans Pelicans,Minnesota Timberwolves,100.0,88.0,188.0,12.0,New Orleans Pelicans
1208,21401209.0,Portland Trail Blazers,Oklahoma City Thunder,90.0,101.0,191.0,11.0,Oklahoma City Thunder
1209,21401210.0,Dallas Mavericks,Utah Jazz,92.0,109.0,201.0,17.0,Utah Jazz
1210,21401211.0,Los Angeles Lakers,Sacramento Kings,92.0,102.0,194.0,10.0,Sacramento Kings
1211,21401212.0,Memphis Grizzlies,Golden State Warriors,107.0,111.0,218.0,4.0,Golden State Warriors
1212,21401213.0,Denver Nuggets,Los Angeles Clippers,103.0,110.0,213.0,7.0,Los Angeles Clippers
1213,21401214.0,Toronto Raptors,Boston Celtics,93.0,95.0,188.0,2.0,Boston Celtics
1214,21401215.0,Washington Wizards,Indiana Pacers,95.0,99.0,194.0,4.0,Indiana Pacers
1215,21401216.0,Los Angeles Clippers,Phoenix Suns,112.0,101.0,213.0,11.0,Los Angeles Clippers
1216,21401217.0,Atlanta Hawks,Chicago Bulls,85.0,91.0,176.0,6.0,Chicago Bulls
1217,21401218.0,Portland Trail Blazers,Dallas Mavericks,98.0,114.0,212.0,16.0,Dallas Mavericks
1218,21401219.0,Utah Jazz,Houston Rockets,91.0,117.0,208.0,26.0,Houston Rockets
1219,21401220.0,Indiana Pacers,Memphis Grizzlies,83.0,95.0,178.0,12.0,Memphis Grizzlies
1220,21401221.0,Boston Celtics,Milwaukee Bucks,105.0,100.0,205.0,5.0,Boston Celtics
1221,21401222.0,Oklahoma City Thunder,Minnesota Timberwolves,138.0,113.0,251.0,25.0,Oklahoma City Thunder
1222,21401223.0,San Antonio Spurs,New Orleans Pelicans,103.0,108.0,211.0,5.0,New Orleans Pelicans
1223,21401224.0,Orlando Magic,Brooklyn Nets,88.0,101.0,189.0,13.0,Brooklyn Nets
1224,21401225.0,Washington Wizards,Cleveland Cavaliers,108.0,113.0,221.0,5.0,Cleveland Cavaliers
1225,21401226.0,Detroit Pistons,New York Knicks,112.0,90.0,202.0,22.0,Detroit Pistons
1226,21401227.0,Miami Heat,Philadelphia 76ers,105.0,101.0,206.0,4.0,Miami Heat
1227,21401228.0,Charlotte Hornets,Toronto Raptors,87.0,92.0,179.0,5.0,Toronto Raptors
1228,21401229.0,Denver Nuggets,Golden State Warriors,126.0,133.0,259.0,7.0,Golden State Warriors
1229,21401230.0,Sacramento Kings,Los Angeles Lakers,122.0,99.0,221.0,23.0,Sacramento Kings
1230,21500001.0,Detroit Pistons,Atlanta Hawks,106.0,94.0,200.0,12.0,Detroit Pistons
1231,21500002.0,Cleveland Cavaliers,Chicago Bulls,95.0,97.0,192.0,2.0,Chicago Bulls
1232,21500003.0,New Orleans Pelicans,Golden State Warriors,95.0,111.0,206.0,16.0,Golden State Warriors
1233,21500004.0,Washington Wizards,Orlando Magic,88.0,87.0,175.0,1.0,Washington Wizards
1234,21500005.0,Philadelphia 76ers,Boston Celtics,95.0,112.0,207.0,17.0,Boston Celtics
1235,21500006.0,Chicago Bulls,Brooklyn Nets,115.0,100.0,215.0,15.0,Chicago Bulls
1236,21500007.0,Utah Jazz,Detroit Pistons,87.0,92.0,179.0,5.0,Detroit Pistons
1237,21500008.0,Charlotte Hornets,Miami Heat,94.0,104.0,198.0,10.0,Miami Heat
1238,21500009.0,Indiana Pacers,Toronto Raptors,99.0,106.0,205.0,7.0,Toronto Raptors
1239,21500010.0,Denver Nuggets,Houston Rockets,105.0,85.0,190.0,20.0,Denver Nuggets
1240,21500011.0,Cleveland Cavaliers,Memphis Grizzlies,106.0,76.0,182.0,30.0,Cleveland Cavaliers
1241,21500012.0,New York Knicks,Milwaukee Bucks,122.0,97.0,219.0,25.0,New York Knicks
1242,21500013.0,San Antonio Spurs,Oklahoma City Thunder,106.0,112.0,218.0,6.0,Oklahoma City Thunder
1243,21500014.0,Dallas Mavericks,Phoenix Suns,111.0,95.0,206.0,16.0,Dallas Mavericks
1244,21500015.0,New Orleans Pelicans,Portland Trail Blazers,94.0,112.0,206.0,18.0,Portland Trail Blazers
1245,21500016.0,LA Clippers,Sacramento Kings,111.0,104.0,215.0,7.0,LA Clippers
1246,21500017.0,Minnesota Timberwolves,Los Angeles Lakers,112.0,111.0,223.0,1.0,Minnesota Timberwolves
1247,21500018.0,Memphis Grizzlies,Indiana Pacers,112.0,103.0,215.0,9.0,Memphis Grizzlies
1248,21500019.0,Atlanta Hawks,New York Knicks,112.0,101.0,213.0,11.0,Atlanta Hawks
1249,21500020.0,Dallas Mavericks,LA Clippers,88.0,104.0,192.0,16.0,LA Clippers
1250,21500021.0,Miami Heat,Cleveland Cavaliers,92.0,102.0,194.0,10.0,Cleveland Cavaliers
1251,21500022.0,Oklahoma City Thunder,Orlando Magic,139.0,136.0,275.0,3.0,Oklahoma City Thunder
1252,21500023.0,Utah Jazz,Philadelphia 76ers,99.0,71.0,170.0,28.0,Utah Jazz
1253,21500024.0,Toronto Raptors,Boston Celtics,113.0,103.0,216.0,10.0,Toronto Raptors
1254,21500025.0,Chicago Bulls,Detroit Pistons,94.0,98.0,192.0,4.0,Detroit Pistons
1255,21500026.0,Charlotte Hornets,Atlanta Hawks,94.0,97.0,191.0,3.0,Atlanta Hawks
1256,21500027.0,Washington Wizards,Milwaukee Bucks,118.0,113.0,231.0,5.0,Washington Wizards
1257,21500028.0,Brooklyn Nets,San Antonio Spurs,75.0,102.0,177.0,27.0,San Antonio Spurs
1258,21500029.0,Minnesota Timberwolves,Denver Nuggets,95.0,78.0,173.0,17.0,Minnesota Timberwolves
1259,21500030.0,Golden State Warriors,Houston Rockets,112.0,92.0,204.0,20.0,Golden State Warriors
1260,21500031.0,Los Angeles Lakers,Sacramento Kings,114.0,132.0,246.0,18.0,Sacramento Kings
1261,21500032.0,Portland Trail Blazers,Phoenix Suns,92.0,110.0,202.0,18.0,Phoenix Suns
1262,21500033.0,Utah Jazz,Indiana Pacers,97.0,76.0,173.0,21.0,Utah Jazz
1263,21500034.0,New York Knicks,Washington Wizards,117.0,110.0,227.0,7.0,New York Knicks
1264,21500035.0,Golden State Warriors,New Orleans Pelicans,134.0,120.0,254.0,14.0,Golden State Warriors
1265,21500036.0,Brooklyn Nets,Memphis Grizzlies,91.0,101.0,192.0,10.0,Memphis Grizzlies
1266,21500037.0,Phoenix Suns,Portland Trail Blazers,101.0,90.0,191.0,11.0,Phoenix Suns
1267,21500038.0,Sacramento Kings,LA Clippers,109.0,114.0,223.0,5.0,LA Clippers
1268,21500039.0,Atlanta Hawks,Charlotte Hornets,94.0,92.0,186.0,2.0,Atlanta Hawks
1269,21500040.0,San Antonio Spurs,Boston Celtics,95.0,87.0,182.0,8.0,San Antonio Spurs
1270,21500041.0,Houston Rockets,Miami Heat,89.0,109.0,198.0,20.0,Miami Heat
1271,21500042.0,Milwaukee Bucks,Toronto Raptors,87.0,106.0,193.0,19.0,Toronto Raptors
1272,21500043.0,Orlando Magic,Chicago Bulls,87.0,92.0,179.0,5.0,Chicago Bulls
1273,21500044.0,Denver Nuggets,Oklahoma City Thunder,93.0,117.0,210.0,24.0,Oklahoma City Thunder
1274,21500045.0,Dallas Mavericks,Los Angeles Lakers,103.0,93.0,196.0,10.0,Dallas Mavericks
1275,21500046.0,Cleveland Cavaliers,Philadelphia 76ers,107.0,100.0,207.0,7.0,Cleveland Cavaliers
1276,21500047.0,Milwaukee Bucks,Brooklyn Nets,103.0,96.0,199.0,7.0,Milwaukee Bucks
1277,21500048.0,San Antonio Spurs,New York Knicks,94.0,84.0,178.0,10.0,San Antonio Spurs
1278,21500049.0,Oklahoma City Thunder,Houston Rockets,105.0,110.0,215.0,5.0,Houston Rockets
1279,21500050.0,Portland Trail Blazers,Minnesota Timberwolves,106.0,101.0,207.0,5.0,Portland Trail Blazers
1280,21500051.0,Memphis Grizzlies,Golden State Warriors,69.0,119.0,188.0,50.0,Golden State Warriors
1281,21500052.0,Phoenix Suns,LA Clippers,96.0,102.0,198.0,6.0,LA Clippers
1282,21500053.0,Chicago Bulls,Charlotte Hornets,105.0,130.0,235.0,25.0,Charlotte Hornets
1283,21500054.0,Indiana Pacers,Detroit Pistons,94.0,82.0,176.0,12.0,Indiana Pacers
1284,21500055.0,Atlanta Hawks,Miami Heat,98.0,92.0,190.0,6.0,Atlanta Hawks
1285,21500056.0,Orlando Magic,New Orleans Pelicans,103.0,94.0,197.0,9.0,Orlando Magic
1286,21500057.0,Toronto Raptors,Dallas Mavericks,102.0,91.0,193.0,11.0,Toronto Raptors
1287,21500058.0,Memphis Grizzlies,Sacramento Kings,103.0,89.0,192.0,14.0,Memphis Grizzlies
1288,21500059.0,Denver Nuggets,Los Angeles Lakers,120.0,109.0,229.0,11.0,Denver Nuggets
1289,21500060.0,Boston Celtics,Indiana Pacers,98.0,100.0,198.0,2.0,Indiana Pacers
1290,21500061.0,San Antonio Spurs,Washington Wizards,99.0,102.0,201.0,3.0,Washington Wizards
1291,21500062.0,Brooklyn Nets,Atlanta Hawks,87.0,101.0,188.0,14.0,Atlanta Hawks
1292,21500063.0,New York Knicks,Cleveland Cavaliers,86.0,96.0,182.0,10.0,Cleveland Cavaliers
1293,21500064.0,Orlando Magic,Houston Rockets,114.0,119.0,233.0,5.0,Houston Rockets
1294,21500065.0,Philadelphia 76ers,Milwaukee Bucks,87.0,91.0,178.0,4.0,Milwaukee Bucks
1295,21500066.0,Toronto Raptors,Oklahoma City Thunder,103.0,98.0,201.0,5.0,Toronto Raptors
1296,21500067.0,Sacramento Kings,Phoenix Suns,97.0,118.0,215.0,21.0,Phoenix Suns
1297,21500068.0,Portland Trail Blazers,Utah Jazz,108.0,92.0,200.0,16.0,Portland Trail Blazers
1298,21500069.0,LA Clippers,Golden State Warriors,108.0,112.0,220.0,4.0,Golden State Warriors
1299,21500070.0,Oklahoma City Thunder,Chicago Bulls,98.0,104.0,202.0,6.0,Chicago Bulls
1300,21500071.0,Miami Heat,Minnesota Timberwolves,96.0,84.0,180.0,12.0,Miami Heat
1301,21500072.0,Charlotte Hornets,Dallas Mavericks,108.0,94.0,202.0,14.0,Charlotte Hornets
1302,21500073.0,Utah Jazz,Denver Nuggets,96.0,84.0,180.0,12.0,Utah Jazz
1303,21500074.0,Memphis Grizzlies,Portland Trail Blazers,96.0,115.0,211.0,19.0,Portland Trail Blazers
1304,21500075.0,Toronto Raptors,Orlando Magic,87.0,92.0,179.0,5.0,Orlando Magic
1305,21500076.0,Washington Wizards,Boston Celtics,98.0,118.0,216.0,20.0,Boston Celtics
1306,21500077.0,Los Angeles Lakers,Brooklyn Nets,104.0,98.0,202.0,6.0,Los Angeles Lakers
1307,21500078.0,Philadelphia 76ers,Cleveland Cavaliers,102.0,108.0,210.0,6.0,Cleveland Cavaliers
1308,21500079.0,Milwaukee Bucks,New York Knicks,99.0,92.0,191.0,7.0,Milwaukee Bucks
1309,21500080.0,Miami Heat,Indiana Pacers,87.0,90.0,177.0,3.0,Indiana Pacers
1310,21500081.0,Atlanta Hawks,New Orleans Pelicans,121.0,115.0,236.0,6.0,Atlanta Hawks
1311,21500082.0,Detroit Pistons,Phoenix Suns,100.0,92.0,192.0,8.0,Detroit Pistons
1312,21500083.0,Denver Nuggets,Golden State Warriors,104.0,119.0,223.0,15.0,Golden State Warriors
