,GAME_ID,H_TEAM,A_TEAM,H_POINTS,A_POINTS,TOTAL,M_OF_VIC,WINNER,PLUS_MINUS,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_STL,H_BLK,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_STL,A_BLK
3938,21800645.0,,Brooklyn Nets,0.0,109.0,109.0,109.0,Brooklyn Nets,7.0,,,,,,,0.342,0.88,55.0,18.0,5.0,7.0
3939,21800609.0,,Brooklyn Nets,0.0,116.0,116.0,116.0,Brooklyn Nets,16.0,,,,,,,0.3329999999999999,0.769,54.0,21.0,10.0,9.0
3940,21800584.0,Brooklyn Nets,,117.0,0.0,117.0,117.0,Brooklyn Nets,17.0,0.348,0.773,38.0,29.0,6.0,3.0,,,,,,
3941,21800557.0,,Brooklyn Nets,0.0,126.0,126.0,126.0,Brooklyn Nets,5.0,,,,,,,0.516,0.762,43.0,27.0,7.0,5.0
3942,21800517.0,Brooklyn Nets,Charlotte Hornets,87.0,100.0,187.0,100.0,Charlotte Hornets,13.0,0.148,0.85,48.0,15.0,4.0,10.0,0.3329999999999999,0.7,49.0,19.0,4.0,8.0
3943,21800489.0,Phoenix Suns,Brooklyn Nets,103.0,111.0,214.0,8.0,Brooklyn Nets,8.0,0.176,0.875,41.0,24.0,10.0,5.0,0.37,0.636,49.0,25.0,7.0,4.0
3944,21800460.0,Brooklyn Nets,,96.0,0.0,96.0,96.0,Brooklyn Nets,3.0,0.32,0.8,45.0,23.0,3.0,2.0,,,,,,
3945,21800436.0,,Brooklyn Nets,0.0,144.0,144.0,144.0,Brooklyn Nets,17.0,,,,,,,0.4,0.909,39.0,34.0,12.0,3.0
3946,21800408.0,Brooklyn Nets,Philadelphia 76ers,127.0,124.0,251.0,3.0,Brooklyn Nets,3.0,0.5,0.86,37.0,20.0,10.0,1.0,0.429,0.75,37.0,31.0,11.0,3.0
3947,21800371.0,Toronto Raptors,Brooklyn Nets,105.0,106.0,211.0,105.0,Toronto Raptors,1.0,0.314,0.828,41.0,25.0,9.0,7.0,0.314,0.6920000000000001,60.0,22.0,8.0,2.0
3948,21800345.0,,Brooklyn Nets,0.0,97.0,97.0,97.0,Brooklyn Nets,2.0,,,,,,,0.25,0.563,50.0,17.0,5.0,2.0
