,GAME_ID,PTS
15051,21401131,170
12359,21401132,192
8590,21401133,181
11823,21401134,216
1611,21401135,196
10747,21401136,184
15584,21401137,183
7517,21401138,230
15050,21401139,197
12896,21401140,233
14512,21401141,175
3759,21401142,233
6446,21401143,187
3219,21401144,199
13436,21401145,172
1610,21401146,189
12358,21401147,227
1078,21401148,193
9128,21401149,201
11822,21401150,199
8055,21401151,192
11285,21401152,196
4827,21401153,184
10205,21401154,165
5905,21401155,205
3757,21401156,203
12357,21401157,201
11284,21401158,227
5368,21401159,205
12895,21401160,166
2147,21401161,208
9665,21401162,209
4,21401163,225
15049,21401164,216
9127,21401165,188
1608,21401166,184
6445,21401167,203
11820,21401168,208
5367,21401169,220
13434,21401170,194
2678,21401171,211
10744,21401172,207
5904,21401173,167
3756,21401174,221
12894,21401175,200
3,21401176,184
7514,21401177,197
1076,21401178,189
15048,21401179,210
8053,21401180,190
11819,21401181,207
1607,21401182,165
12356,21401183,219
3217,21401184,287
13433,21401185,177
5366,21401186,204
8586,21401187,159
5903,21401188,211
9664,21401189,221
13971,21401190,180
13432,21401191,216
3755,21401192,211
7513,21401193,169
1075,21401194,195
15580,21401195,193
11281,21401196,233
12355,21401197,220
2,21401198,207
4287,21401199,235
10202,21401200,198
2676,21401201,226
4286,21401202,190
1074,21401203,206
9663,21401204,204
1,21401205,220
7512,21401206,199
8585,21401207,193
1605,21401208,188
10741,21401209,191
2675,21401210,201
11280,21401211,194
13970,21401212,218
3215,21401213,213
535,21401214,188
14508,21401215,194
4823,21401216,213
0,21401217,176
2674,21401218,212
13430,21401219,208
9123,21401220,178
534,21401221,205
12353,21401222,251
11817,21401223,211
7511,21401224,189
14507,21401225,221
8050,21401226,202
9662,21401227,206
12891,21401228,179
3753,21401229,259
11279,21401230,221
163,21500001,200
2306,21500002,192
1767,21500003,206
14670,21500004,175
697,21500005,207
7674,21500006,215
13593,21500007,179
6064,21500008,198
9286,21500009,205
3377,21500010,190
14132,21500011,182
6604,21500012,219
12516,21500013,218
10364,21500014,206
10903,21500015,206
4986,21500016,215
5526,21500017,223
14131,21500018,215
162,21500019,213
4985,21500020,192
1234,21500021,194
8746,21500022,275
13592,21500023,170
13053,21500024,216
15206,21500025,192
161,21500026,191
14669,21500027,231
7673,21500028,177
7142,21500029,173
4447,21500030,204
11441,21500031,246
10363,21500032,202
13591,21500033,173
14668,21500034,227
1765,21500035,254
7672,21500036,192
10362,21500037,191
4984,21500038,223
15739,21500039,186
11978,21500040,182
4446,21500041,198
6602,21500042,193
2303,21500043,179
3375,21500044,210
5524,21500045,196
9823,21500046,207
7671,21500047,199
11977,21500048,178
12513,21500049,215
10900,21500050,207
14129,21500051,188
10361,21500052,198
15738,21500053,235
15205,21500054,176
6061,21500055,190
8744,21500056,197
2834,21500057,193
11439,21500058,192
3374,21500059,229
694,21500060,198
11976,21500061,201
158,21500062,188
8209,21500063,182
8743,21500064,233
6600,21500065,178
13050,21500066,201
11438,21500067,215
10899,21500068,200
3912,21500069,220
12511,21500070,202
6060,21500071,180
2833,21500072,202
3373,21500073,180
14127,21500074,211
8742,21500075,179
14666,21500076,216
7669,21500077,202
9821,21500078,210
8208,21500079,191
9281,21500080,177
1763,21500081,236
10359,21500082,192
3911,21500083,223
11437,21500084,226
2300,21500085,195
14665,21500086,213
8741,21500087,202
2832,21500088,205
7668,21500089,180
11975,21500090,208
14126,21500091,168
3910,21500092,197
4981,21500093,214
9280,21500094,198
8207,21500095,194
6058,21500096,172
12510,21500097,227
15203,21500098,223
9279,21500099,181
9819,21500100,199
155,21500101,224
3371,21500102,212
11974,21500103,194
15202,21500104,204
14125,21500105,186
13587,21500106,232
14664,21500107,226
5520,21500108,189
13047,21500109,220
692,21500110,182
7137,21500111,199
1761,21500112,225
8205,21500113,188
8739,21500114,200
9818,21500115,222
691,21500116,193
154,21500117,204
4979,21500118,226
7667,21500119,204
14124,21500120,184
3370,21500121,205
11434,21500122,193
11973,21500123,214
6056,21500124,183
7136,21500125,245
10357,21500126,222
7135,21500127,210
8738,21500128,195
690,21500129,199
8204,21500130,174
1759,21500131,181
15733,21500132,199
10894,21500133,201
12508,21500134,187
5518,21500135,172
4440,21500136,205
11433,21500137,220
4977,21500138,197
14663,21500139,207
4439,21500140,208
1227,21500141,213
9816,21500142,175
3368,21500143,186
7665,21500144,206
8203,21500145,182
14122,21500146,220
15732,21500147,200
13584,21500148,193
689,21500149,185
13044,21500150,208
15199,21500151,182
9815,21500152,178
2297,21500153,191
688,21500154,206
14121,21500155,236
10892,21500156,173
10355,21500157,221
14662,21500158,201
7664,21500159,178
1226,21500160,203
7133,21500161,194
8202,21500162,196
3367,21500163,213
13043,21500164,225
15730,21500165,227
7132,21500166,205
9814,21500167,197
687,21500168,208
150,21500169,200
4437,21500170,211
1756,21500171,213
11970,21500172,207
13583,21500173,182
10354,21500174,200
6054,21500175,225
6593,21500176,215
4976,21500177,241
9813,21500178,201
686,21500179,215
4436,21500180,180
15197,21500181,182
1755,21500182,194
12504,21500183,183
2825,21500184,195
10353,21500185,221
10890,21500186,193
3903,21500187,200
13041,21500188,193
8735,21500189,188
9274,21500190,209
149,21500191,206
15196,21500192,192
6053,21500193,187
4435,21500194,209
11968,21500195,174
4974,21500196,171
685,21500197,212
1754,21500198,238
2824,21500199,231
3902,21500200,223
5514,21500201,200
15728,21500202,249
8734,21500203,220
8199,21500204,173
15195,21500205,197
7130,21500206,195
10351,21500207,182
12502,21500208,200
9273,21500209,229
148,21500210,218
14118,21500211,206
3363,21500212,205
10888,21500213,181
3901,21500214,188
14659,21500215,188
8733,21500216,191
9810,21500217,164
15194,21500218,185
13039,21500219,202
14117,21500220,195
6590,21500221,247
147,21500222,194
7660,21500223,209
2822,21500224,171
1753,21500225,234
4972,21500226,193
1221,21500227,185
6589,21500228,204
682,21500229,189
6050,21500230,175
9272,21500231,196
9809,21500232,230
14116,21500233,217
15193,21500234,190
11965,21500235,171
10349,21500236,251
11426,21500237,192
1752,21500238,201
13038,21500239,166
1220,21500240,178
2821,21500241,173
11964,21500242,196
1751,21500243,188
5512,21500244,204
11425,21500245,221
6588,21500246,169
4970,21500247,206
7658,21500248,170
681,21500249,201
13037,21500250,209
14115,21500251,176
8196,21500252,227
9271,21500253,210
15191,21500254,221
680,21500255,200
12499,21500256,206
11963,21500257,181
6587,21500258,166
13578,21500259,209
2820,21500260,210
10886,21500261,189
14656,21500262,182
9807,21500263,194
10347,21500264,185
8730,21500265,189
14114,21500266,217
2819,21500267,227
3897,21500268,215
5509,21500269,212
10346,21500270,249
9806,21500271,186
143,21500272,182
2291,21500273,189
4430,21500274,209
11962,21500275,165
4968,21500276,194
12498,21500277,192
3358,21500278,211
8729,21500279,197
14113,21500280,186
9269,21500281,234
11423,21500282,211
8194,21500283,199
10345,21500284,215
15189,21500285,197
5508,21500286,187
4429,21500287,196
1748,21500288,222
3357,21500289,213
3896,21500290,221
1217,21500291,183
15723,21500292,198
11422,21500293,233
7125,21500294,212
8193,21500295,197
678,21500296,213
9268,21500297,241
8728,21500298,204
10344,21500299,188
3895,21500300,212
15188,21500301,202
14653,21500302,220
11421,21500303,193
15187,21500304,188
9804,21500305,187
14652,21500306,217
2816,21500307,201
13033,21500308,195
10343,21500309,204
6583,21500310,178
7124,21500311,216
677,21500312,204
10881,21500313,205
9267,21500314,254
7654,21500315,215
14111,21500316,213
8727,21500317,159
11420,21500318,220
2288,21500319,205
15721,21500320,180
14651,21500321,212
14110,21500322,185
11958,21500323,191
6582,21500324,204
5505,21500325,245
8726,21500326,211
13574,21500327,191
141,21500328,193
9803,21500329,191
2287,21500330,163
